,index,num,type,ratio
2,101003,396612,101,0.9634338600561135
1,101002,7776,101,0.018889145300183402
0,101001,5603,101,0.013610581419357974
8,101009,854,101,0.0020745023259203478
7,101008,378,101,0.0009182223409811375
6,101007,147,101,0.00035708646593710905
3,101004,125,101,0.00030364495402815394
5,101006,107,101,0.0002599200806480998
4,101005,63,101,0.0001530370568301896
